index,x,y
0,26.6504,20.185286
1,24.985142,17.779089
2,20.580727,20.243988
3,-4.373313,-16.630981
4,18.528793,18.85669
5,-16.632719,3.2764716
6,16.950407,23.05569
7,-9.785804,13.444861
8,-16.788364,4.9950714
9,-16.93846,2.2514906
10,0.92766404,22.27628
11,3.673016,24.186068
12,11.455759,23.81766
13,-7.647411,22.231644
14,-21.019236,7.1311707
15,-6.48936,18.581697
16,-0.73044074,20.239023
17,4.1210623,24.200054
18,28.386944,17.553051
19,-19.419,6.76656
20,-18.77138,-6.942447
21,22.778454,-29.124207
22,-4.743502,19.686295
23,29.273003,16.66434
24,27.452654,19.870312
25,10.932569,20.656647
26,-8.927427,17.611012
27,12.29604,23.00285
28,2.7867098,24.249475
29,6.9658103,23.462622
30,18.72746,22.506056
31,-9.9301815,11.258433
32,8.427816,21.42597
33,22.736496,20.428192
34,3.8719614,23.364134
35,4.8277473,22.852562
36,-13.860159,15.11778
37,-17.04881,-15.774442
38,-18.921877,15.909164
39,-17.369877,7.3294272
40,-14.367148,10.743015
41,2.0225143,-21.068398
42,18.553322,22.05932
43,-9.7511635,12.741725
44,-16.884169,5.5920553
45,16.449242,22.286724
46,27.16104,-28.461733
47,-16.390022,6.0882764
48,-10.548808,-14.137082
49,-20.150536,5.628393
50,-4.8574705,-21.272638
51,-23.197302,4.4711666
52,-6.661076,-20.574451
53,9.900676,23.319855
54,-3.2907665,20.28226
55,-1.9771472,-22.19103
56,27.086187,18.884981
57,-4.8197594,18.667326
58,-19.594646,-7.726353
59,25.957775,-28.686338
60,16.929665,-27.658339
61,26.073822,-29.072264
62,-5.823179,18.202658
63,23.524126,-28.765713
64,-9.9953785,11.781821
65,-7.148399,18.759817
66,22.047468,-28.363886
67,3.1420891,-25.505335
68,23.336853,-28.036741
69,-16.000622,-15.754939
70,25.5304,21.407661
71,25.09532,-28.987099
72,17.958961,24.422932
73,-12.715047,12.57744
74,-14.195455,-9.858125
75,3.2585034,22.596212
76,-21.676542,-8.143349
77,17.152388,23.66492
78,19.110916,19.431238
79,-17.721212,-8.146306
