x,y
-14.953582,35.472538
-15.306274,32.846638
-10.78423,30.530052
-1.0388751,-15.896454
-8.647086,31.671442
16.332882,-3.1480982
-7.7278204,27.284277
13.268736,8.819184
17.0456,-1.6091908
16.300797,-4.2028985
6.293243,21.905396
4.9321485,24.748405
-2.151742,28.061718
14.720259,16.903578
21.643661,-0.9398586
12.129996,15.156146
9.127566,21.569176
4.526295,24.927141
-17.84269,35.086597
20.063078,-0.78761715
15.137157,-13.310008
-28.860838,-6.860779
11.182973,17.362228
-19.069855,35.10346
-15.649694,35.893143
-3.2219806,24.878174
13.994692,13.012009
-3.28267,27.770252
5.819606,24.445374
1.626087,25.328196
-9.298624,28.110006
12.5899315,6.811841
-0.64114517,24.388302
-12.810143,30.607574
4.4015574,24.091608
3.3032937,23.916267
17.603386,8.895528
10.312073,-20.830866
22.575268,7.8610106
18.31225,0.38088077
16.593943,4.670625
-10.719757,-21.858353
-9.068427,28.537132
12.985782,8.203716
17.32954,-1.0898322
-7.090648,27.956392
-32.313198,-4.1958275
17.01846,-0.48240855
5.3515096,-16.506147
20.393524,-2.0812838
-2.8040113,-20.09898
22.888191,-4.102131
-0.91360676,-20.361227
-1.0134976,26.747276
10.363666,19.114891
-5.8558273,-19.429605
-16.043835,34.986065
11.200562,16.245203
15.607877,-14.33053
-31.376167,-4.968187
-25.01604,-11.404038
-31.98018,-5.63805
11.490258,15.240322
-29.670177,-6.699986
12.851104,7.2450256
12.712606,14.985713
-28.734875,-7.8796563
-12.262597,-17.923328
-29.966162,-7.394629
9.359914,-20.414822
-15.252743,30.092854
-30.685247,-5.5207014
-8.814455,26.087357
15.648913,6.966692
9.925937,-14.3119335
4.5539207,23.216536
17.340532,-15.452364
-7.922054,26.70097
-9.273053,31.166037
13.731374,-14.029093
-4.0834436,-17.945225
14.527344,-15.256107
-20.098232,33.93555
-1.4768069,28.102852
3.605481,-17.303988
-8.037143,28.063501
17.786724,9.883092
-8.5075035,27.975891
6.162714,-17.835024
18.429743,9.735105
18.695536,10.559293
17.75765,13.950778
14.503789,6.7445064
20.107792,-2.4534776
10.671074,18.92694
-11.802318,31.46225
